,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.0459,2.66,4.06,8.37,-0.289,0.5660000000000001,0.165,-0.0585,-1.43,0.7120000000000001,,,,,150,45900000.0,1.0662011341667554,2.484215656693027,5.093237461989914,-0.3080332781850651,1.1044182216925205,0.17621074185840438,-0.4461088874987201,-0.9049673451039154,-0.16915588405784662,,,,,,,,,,-0.7132619043673977,-1.5338922704217148,-1.2847217302989615,-1.6562775316458154,0.17902884677339312,0.6133177510523301,,,,,,
1,1,1,1,0.0959,0.39,4.38,5.61,-0.317,1.63,0.39,-2.08,-0.979,-2.22,,,,,150,95900000.0,0.9219049883661424,3.2750389847342016,5.203057265666611,-0.31419737113408364,1.1940916730468194,0.3102668762681974,-0.8661054380275608,-0.9356615279087299,-0.7119015817994017,,,,,,,,,,-0.7396041906604262,-1.4894080569049843,-1.3260417878714683,-1.7587104445271973,0.05332613415984133,0.6520803721867856,,,,,,
2,2,2,2,0.146,1.57,2.17,4.92,-1.2,3.84,0.134,-0.0709,-2.89,-3.32,,,,,150,146000000.0,1.132058251308642,2.6888840426771754,5.1123326586062,-0.9630836339074816,1.858968820400756,0.18845311760021632,-0.5683719331056173,-1.9679905971871223,-1.7040455075698675,,,,,,,,,,-0.3756190191682773,-1.3891435047832081,-2.1832590958152007,-2.3095130178373133,-0.3219841334343351,0.5536638388649018,,,,,,
3,3,3,3,0.196,-3.98,3.74,12.8,0.526,2.48,-0.4270000000000001,-3.77,-0.826,4.11,,,,,150,196000000.0,-0.7663574363013734,3.271365942084305,7.9334909557785585,0.1324771151286317,2.041508249103607,-0.2405593277954637,-1.9040872430786835,-1.3373530941656484,0.7487587849266975,,,,,,,,,,-1.5801531994191913,-1.2731469776339408,-2.479799883333296,-2.2881440216603437,0.2415970534557131,0.535233054231284,,,,,,
4,4,4,4,0.246,-1.94,3.73,8.1,0.11,0.966,1.81,-1.36,-1.08,-0.422,,,,,150,246000000.0,-1.22341778158311,3.527660224085292,7.997606380524457,0.1159350687328798,1.7031878314117606,1.1899446822615591,-1.6693797490089541,-1.1940105790367856,0.2389981114415015,,,,,,,,,,-1.721114873645761,-1.1371747262891516,-1.9038181365810782,-2.206928803282721,0.24885810605841616,0.4056083131804517,,,,,,
5,5,5,5,0.29600000000000004,-1.89,3.03,8.09,-0.76,2.69,1.01,-1.12,-1.71,-0.465,,,,,150,296000000.0,-1.4874528179041522,3.2491063442631094,8.033808029855848,-0.5287234319200279,2.023042255502669,1.0644032643998609,-1.4298905750825501,-1.4818915760554818,-0.07054435276061921,,,,,,,,,,-1.4798262137409897,-1.114752208134823,-2.476329496153169,-2.3392170507372194,0.02858561886980767,0.27508281657880235,,,,,,
6,6,6,6,0.34600000000000003,-1.07,2.06,10.0,-0.913,0.5529999999999999,1.44,0.248,-2.38,1.39,,,,,150,346000000.0,-1.3210879623716971,2.5833226040087442,8.809098262687856,-0.8115383615568261,1.5401798052673068,1.3264463590189008,-0.6960318090662271,-1.983128170483624,0.5736041446642227,,,,,,,,,,-1.49818687042258,-1.241465645153541,-2.171744306159374,-1.87747219715071,0.4543602249395418,0.2439777297261275,,,,,,
7,7,7,7,0.396,-2.91,3.0,8.38,-0.757,0.759,0.7290000000000001,-1.48,-1.08,-0.428,,,,,150,396000000.0,-1.9556968909177768,2.8166355213531955,8.639508734977282,-0.7713999351775821,1.2820626744382224,0.9096249241789084,-1.039273787315287,-1.479058007504215,0.13144415145657645,,,,,,,,,,-1.4159814745923411,-1.2550685270035165,-1.910151326943991,-1.5088672850459344,0.4640819301964873,0.2707034704893205,,,,,,
8,8,8,8,0.446,-1.92,1.9,9.59,0.14800000000000002,0.455,0.5329999999999999,-0.345,-2.03,0.746,,,,,150,446000000.0,-1.941428337372828,2.303371710151712,9.01548205335775,-0.09475169017140027,1.0080623762329382,0.6468643541999085,-0.7352022478619669,-1.7865635013726684,0.4028212091031838,,,,,,,,,,-1.6216543848797305,-1.268459326524611,-1.459913227523452,-1.3685020879732237,0.8381432641788954,0.3486573535869452,,,,,,
9,9,9,9,0.496,-2.3,-0.836,9.39,-0.5820000000000001,0.6509999999999999,0.271,-0.506,-4.74,0.5770000000000001,,,,,150,496000000.0,-2.084795059329441,0.5454979513431732,9.1636709386544,-0.4533505025148264,0.8896306064785687,0.38463441490786027,-0.6348079410584401,-3.435013146521011,0.4797426035533962,,,,,,,,,,-1.392471183618818,-1.1809072614965168,-1.5618592109377598,-1.1360799600818514,1.0255553053289348,0.340497836633975,,,,,,
10,10,10,10,0.546,1.92,-3.32,7.2,-2.27,0.665,0.197,4.06,-6.73,-1.74,,,,,150,546000000.0,-0.4834047997109389,-1.6189670643961909,8.386600844406088,-1.7903450273464618,0.8150851350384134,0.253727184054402,1.4216615501435197,-5.2740988828222255,-0.5005752809048758,,,,,,,,,,-0.4205066810113457,-1.370114147117385,-1.851622188997765,-1.039102694621463,1.0070420507579303,0.2576174025926987,,,,,,
