Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps
2.41E+02,-3.87E+00,-1.19E+01,-5.81E+00,-1.51E+00,-1.91E+00,-3.48E+00,-1.42E+01,-1.38E+01,-8.30E+00,,,,,150,2.41E+11
2.41E+02,-1.03E+01,-2.27E+01,-6.98E+00,-2.56E+00,2.41E+00,-4.19E+00,-2.29E+01,-9.28E+00,3.96E-01,,,,,150,2.41E+11
2.41E+02,-1.24E+01,-2.49E+01,-4.38E+00,-1.70E+00,6.54E-01,-2.66E+00,-1.78E+01,-1.83E-01,4.42E+00,,,,,150,2.41E+11
2.41E+02,-1.10E+01,-7.28E+00,4.22E+00,1.18E-01,3.63E-01,-3.22E-01,-1.71E+01,5.42E+00,1.27E+00,,,,,150,2.41E+11
2.41E+02,-9.11E+00,-2.26E+00,6.64E+00,3.10E-01,-2.02E-01,2.55E+00,-1.51E+01,9.30E+00,1.44E+00,,,,,150,2.41E+11
2.41E+02,-7.98E+00,2.57E+00,1.24E+00,1.16E+00,-4.53E-01,2.80E+00,-3.71E+00,1.21E+01,4.89E+00,,,,,150,2.41E+11
2.41E+02,-2.56E-01,5.23E+00,4.28E+00,1.58E+00,-8.05E-01,2.42E+00,-3.69E+00,4.93E+00,-1.53E+00,,,,,150,2.41E+11
2.41E+02,1.34E+00,-3.47E+00,-1.07E+00,2.22E+00,1.77E+00,6.29E+00,-3.15E+01,-5.50E+01,1.39E+00,,,,,150,2.41E+11
2.41E+02,-3.50E+01,-3.54E+01,2.20E+00,3.85E-01,-3.55E-01,3.10E+00,-1.30E+01,-1.20E+01,-9.50E+00,,,,,150,2.41E+11
2.41E+02,-1.14E+01,-2.15E+01,-7.34E+00,-8.10E-01,-2.20E+00,1.57E+00,-1.19E+00,7.00E-01,-4.73E+00,,,,,150,2.41E+11
2.41E+02,-3.54E+00,-1.09E+01,-6.82E-01,-1.25E+00,-7.87E-01,-1.44E+00,4.71E+00,4.25E+00,-5.40E+00,,,,,150,2.41E+11
2.41E+02,5.01E+00,-5.43E+00,-3.84E+00,-8.27E-01,2.28E+00,-5.55E+00,7.98E+00,1.06E+01,4.97E+00,,,,,150,2.41E+11
2.41E+02,1.67E+01,-3.58E+00,-6.05E+00,1.52E+00,-6.97E+00,-1.17E+00,-1.64E+01,1.74E+01,1.37E+01,,,,,150,2.41E+11
2.41E+02,-1.21E+01,8.62E+00,1.44E+01,2.88E-01,6.49E+00,4.06E+00,-5.86E+00,3.12E+00,-2.06E+00,,,,,150,2.41E+11
2.41E+02,-1.14E+01,-9.56E+00,7.18E-01,-1.31E-01,1.90E+00,-4.04E-01,8.36E+00,4.06E+00,-1.23E+01,,,,,150,2.41E+11
2.41E+02,1.00E+01,-5.41E+00,-1.04E+01,-1.65E+00,-3.04E-01,-1.71E+00,-3.80E+00,-3.09E+01,1.18E+00,,,,,150,2.41E+11
2.42E+02,1.68E+00,-1.99E+01,-1.23E+01,-1.96E+00,-9.92E-01,-3.82E+00,-4.46E+00,-1.48E+01,-9.80E+00,,,,,150,2.42E+11
2.42E+02,-1.19E+00,-2.39E+01,-8.32E+00,-1.99E+00,8.37E-02,-2.95E+00,-1.99E+01,-1.13E+01,-5.92E-01,,,,,150,2.42E+11
2.42E+02,-9.67E+00,-2.14E+01,-5.59E+00,-1.48E+00,5.60E-01,-2.79E+00,-1.84E+01,-4.00E+00,5.78E+00,,,,,150,2.42E+11
2.42E+02,-1.23E+01,-1.17E+01,5.76E+00,-2.37E-01,7.53E-01,-7.27E-01,-1.52E+01,3.97E+00,1.84E+00,,,,,150,2.42E+11
2.42E+02,-7.85E+00,-4.09E+00,7.66E+00,4.23E-01,-1.28E-02,1.78E+00,-1.47E+01,8.92E+00,1.10E+00,,,,,150,2.42E+11
2.42E+02,-7.96E+00,1.79E+00,1.05E+00,1.18E+00,-3.07E-01,2.35E+00,-4.73E+00,1.42E+01,3.80E+00,,,,,150,2.42E+11
2.42E+02,-2.44E+00,7.03E+00,5.10E+00,1.92E+00,3.73E-02,2.35E+00,-3.65E+00,7.79E+00,-1.95E+00,,,,,150,2.42E+11
2.42E+02,1.34E+00,-6.20E-01,-1.19E+00,2.93E+00,-5.38E-01,5.56E+00,-4.03E+01,-3.07E+01,-6.66E+00,,,,,150,2.42E+11
2.42E+02,-1.74E+01,-1.27E+01,5.01E+00,1.03E+00,-1.56E-01,2.24E+00,-1.65E+01,-2.20E+01,-9.16E+00,,,,,150,2.42E+11
2.42E+02,-1.50E+01,-3.14E+01,-6.70E+00,-1.13E+00,-1.66E+00,2.25E+00,-4.32E+00,-8.79E-01,-4.55E+00,,,,,150,2.42E+11
2.42E+02,-7.73E+00,-1.38E+01,-4.25E+00,-1.23E+00,-1.41E+00,-4.37E-01,2.02E+00,2.92E+00,-4.16E+00,,,,,150,2.42E+11
2.42E+02,-5.32E-01,-9.01E+00,-3.01E+00,-1.45E+00,1.85E+00,-3.88E+00,1.26E+01,7.30E+00,-5.61E+00,,,,,150,2.42E+11
2.42E+02,1.16E+01,-3.77E+00,-4.25E+00,9.60E-01,-4.98E+00,-4.27E+00,-1.18E+00,1.40E+01,1.26E+01,,,,,150,2.42E+11
2.42E+02,8.66E+00,1.53E+00,1.03E+01,5.01E-01,5.56E+00,3.39E+00,-1.32E+01,2.48E+00,2.97E+00,,,,,150,2.42E+11
2.42E+02,-1.80E+01,1.12E+00,-1.75E+00,2.44E+00,1.48E+00,2.11E+00,6.80E-01,3.47E+00,1.81E+01,,,,,150,2.42E+11
2.42E+02,-3.22E+00,-4.94E+00,1.20E-01,-1.15E+00,-1.41E+00,1.37E-01,-5.49E-01,-1.95E+01,-9.48E+00,,,,,150,2.42E+11
2.42E+02,-1.47E+00,-1.23E+01,-6.39E+00,-9.32E-01,1.39E-01,-5.24E+00,3.15E+00,-1.58E+01,-2.72E+00,,,,,150,2.42E+11
2.42E+02,7.38E+00,-3.61E+01,-4.18E+00,-2.13E+00,-9.75E-01,-2.94E+00,-1.52E+01,-1.48E+01,-5.02E+00,,,,,150,2.42E+11
2.42E+02,-9.27E+00,-2.47E+01,-7.18E+00,-1.82E+00,1.12E+00,-3.80E+00,-1.84E+01,-6.99E+00,1.03E+01,,,,,150,2.42E+11
2.42E+02,-1.48E+01,-2.01E+01,-5.99E-02,-3.09E-01,1.53E+00,-1.37E+00,-1.46E+01,4.25E+00,6.85E+00,,,,,150,2.42E+11
2.43E+02,-9.84E+00,-5.79E+00,9.17E+00,3.06E-01,-4.88E-01,9.29E-01,-1.70E+01,7.09E+00,1.84E+00,,,,,150,2.43E+11
2.43E+02,-8.88E+00,-1.82E+00,-2.90E-01,8.78E-01,3.43E-01,2.70E+00,-6.11E+00,1.54E+01,5.06E+00,,,,,150,2.43E+11
2.43E+02,-7.33E+00,7.99E+00,6.17E+00,1.61E+00,-1.23E+00,2.53E+00,-3.71E+00,1.01E+01,1.73E+00,,,,,150,2.43E+11
2.43E+02,8.45E-01,5.52E+00,1.76E+00,2.03E+00,-1.36E+00,3.57E+00,-2.96E+01,-1.48E+01,5.78E+00,,,,,150,2.43E+11
2.43E+02,-3.51E+00,-7.84E+00,2.11E-01,2.03E+00,1.22E+00,3.38E+00,-1.84E+01,-4.01E+01,-2.90E+00,,,,,150,2.43E+11
2.43E+02,-3.79E+01,-5.64E+01,-1.68E-02,-6.59E-01,-1.04E+00,2.52E+00,-4.87E+00,-2.61E+00,-5.11E+00,,,,,150,2.43E+11
2.43E+02,-7.01E+00,-1.74E+01,-5.82E+00,-1.29E+00,-9.41E-01,-1.21E-01,2.75E+00,1.23E+00,-4.97E+00,,,,,150,2.43E+11
2.43E+02,-1.03E+00,-1.04E+01,-3.64E+00,-1.12E+00,1.10E+00,-4.06E+00,1.38E+01,7.43E+00,-4.53E+00,,,,,150,2.43E+11
2.43E+02,1.21E+01,-5.06E+00,-3.85E+00,6.30E-01,-3.08E+00,-4.60E+00,-1.26E+00,1.50E+01,9.23E+00,,,,,150,2.43E+11
2.43E+02,8.24E+00,2.07E+00,4.07E+00,-1.11E-01,3.71E+00,3.43E+00,-1.87E+01,2.47E+00,-1.44E+00,,,,,150,2.43E+11
2.43E+02,-1.94E+01,5.43E+00,-3.60E+00,7.14E-01,1.62E+00,3.17E+00,9.23E-02,3.97E+00,1.23E+00,,,,,150,2.43E+11
2.43E+02,-7.47E+00,-7.11E+00,3.51E+00,-6.98E-01,-1.01E+00,3.16E-01,1.05E+00,-7.86E+00,-9.28E+00,,,,,150,2.43E+11
2.43E+02,-6.75E-01,-7.51E+00,-6.89E+00,-2.74E-01,6.65E-01,-5.93E+00,1.08E+01,-2.40E+01,-3.84E+00,,,,,150,2.43E+11
2.43E+02,8.99E+00,-3.50E+01,-7.61E+00,-1.80E+00,-1.15E+00,-2.52E+00,-1.36E+01,-1.53E+01,-8.53E+00,,,,,150,2.43E+11
2.43E+02,-1.18E+01,-2.37E+01,-5.65E+00,-2.43E+00,2.91E+00,-3.79E+00,-2.13E+01,-8.68E+00,5.86E+00,,,,,150,2.43E+11
2.43E+02,-1.14E+01,-2.24E+01,-4.65E+00,-9.14E-01,1.02E+00,-1.78E+00,-1.31E+01,3.37E+00,9.17E+00,,,,,150,2.43E+11
2.43E+02,-1.17E+01,-8.17E+00,4.50E+00,4.18E-02,-3.79E-01,-5.86E-02,-1.45E+01,6.43E+00,1.10E+00,,,,,150,2.43E+11
2.43E+02,-7.02E+00,-2.68E+00,2.30E+00,4.29E-01,1.73E-01,2.50E+00,-1.23E+01,1.45E+01,4.48E+00,,,,,150,2.43E+11
2.43E+02,-8.33E+00,3.41E+00,1.01E+00,1.45E+00,-2.13E-01,2.33E+00,-3.48E+00,1.37E+01,3.10E+00,,,,,150,2.43E+11
2.43E+02,-4.60E-01,7.36E+00,4.21E+00,1.56E+00,-7.95E-01,2.41E+00,-9.48E+00,1.07E-01,4.59E-01,,,,,150,2.43E+11
2.44E+02,8.60E-01,-3.30E+00,-1.11E+00,2.10E+00,1.53E+00,5.92E+00,-3.40E+01,-5.75E+01,7.44E-01,,,,,150,2.44E+11
2.44E+02,-3.07E+01,-3.03E+01,7.39E+00,-1.01E-02,-1.15E-01,2.64E+00,-7.82E+00,-5.59E+00,-7.13E+00,,,,,150,2.44E+11
2.44E+02,-1.03E+01,-2.05E+01,-7.52E+00,-1.04E+00,-2.30E+00,9.11E-01,-1.45E+00,2.95E-01,-5.16E+00,,,,,150,2.44E+11
2.44E+02,-4.42E+00,-1.05E+01,-1.58E+00,-1.15E+00,-4.98E-01,-1.65E+00,9.41E+00,4.95E+00,-6.60E+00,,,,,150,2.44E+11
2.44E+02,2.81E+00,-6.37E+00,-3.74E+00,-8.14E-01,1.65E+00,-4.87E+00,9.37E+00,9.75E+00,-2.72E-01,,,,,150,2.44E+11
2.44E+02,1.51E+01,-3.37E+00,-5.04E+00,8.36E-01,-4.34E+00,-2.74E-01,-2.02E+01,1.49E+01,-7.53E+00,,,,,150,2.44E+11
2.44E+02,-7.14E+00,7.93E+00,1.56E+01,3.39E-02,6.38E+00,4.05E+00,-1.03E+01,2.60E+00,1.27E+00,,,,,150,2.44E+11
2.44E+02,-1.80E+01,-4.36E+00,2.53E+00,-8.09E-02,-3.96E-01,7.55E-01,-8.93E-01,4.18E+00,-1.10E+01,,,,,150,2.44E+11
2.44E+02,7.16E+00,-6.10E+00,7.60E+00,-7.36E-02,2.87E+00,-1.52E+00,2.02E+00,-3.17E+01,-5.25E+00,,,,,150,2.44E+11
2.44E+02,2.25E-01,-1.48E+01,-7.79E+00,-9.95E-01,-1.68E+00,-4.10E+00,-8.90E+00,-9.68E+00,-6.34E+00,,,,,150,2.44E+11
2.44E+02,-1.25E+00,-1.98E+01,-5.33E+00,-2.42E+00,4.14E-01,-3.08E+00,-1.83E+01,-1.55E+01,-8.02E+00,,,,,150,2.44E+11
2.44E+02,-1.00E+01,-2.36E+01,-8.54E+00,-1.65E+00,7.14E-01,-3.08E+00,-1.54E+01,1.09E+00,4.52E+00,,,,,150,2.44E+11
2.44E+02,-1.57E+01,-9.94E+00,9.96E+00,-5.41E-01,1.88E-01,-1.11E+00,-1.24E+01,4.33E+00,1.75E+00,,,,,150,2.44E+11
2.44E+02,-6.13E+00,-4.33E+00,8.07E+00,7.88E-01,-1.53E-02,1.45E+00,-1.40E+01,1.04E+01,2.73E+00,,,,,150,2.44E+11
2.44E+02,-6.24E+00,-3.24E+00,1.16E+00,1.41E+00,1.26E-01,2.69E+00,-3.19E+00,1.23E+01,3.14E+00,,,,,150,2.44E+11
2.44E+02,-7.74E+00,2.88E+00,2.14E+00,2.09E+00,1.64E-01,2.48E+00,-5.03E+00,5.76E+00,-2.74E+00,,,,,150,2.44E+11
2.44E+02,2.17E+00,4.08E+00,3.03E+00,2.41E+00,-4.67E-01,5.53E+00,-3.76E+01,-3.03E+01,-6.00E+00,,,,,150,2.44E+11
2.44E+02,-7.30E-01,-3.04E+00,-2.13E+00,5.80E-01,-8.62E-01,2.61E+00,-1.19E+01,-1.25E+01,-6.87E+00,,,,,150,2.44E+11
2.44E+02,-3.46E+01,-3.95E+01,-4.67E+00,-9.95E-01,-1.24E+00,2.07E+00,-2.41E+00,-1.36E+00,-4.34E+00,,,,,150,2.44E+11
2.44E+02,-1.11E+01,-2.20E+01,-4.63E+00,-1.23E+00,-1.52E+00,-8.11E-01,4.91E+00,3.42E+00,-5.85E+00,,,,,150,2.44E+11
2.45E+02,-2.78E+00,-1.09E+01,-2.17E+00,-1.12E+00,1.15E+00,-4.35E+00,1.18E+01,9.00E+00,-1.54E+00,,,,,150,2.45E+11
2.45E+02,4.21E+00,-6.23E+00,-4.21E+00,9.88E-01,-4.79E+00,-3.04E+00,-8.38E+00,1.77E+01,1.21E+01,,,,,150,2.45E+11
2.45E+02,1.22E+01,-7.37E-01,-4.81E-01,3.21E-02,5.11E+00,2.95E+00,-1.15E+01,2.53E+00,1.10E+00,,,,,150,2.45E+11
2.45E+02,-5.79E+00,8.25E+00,1.28E+01,1.51E+00,-3.56E-01,1.05E+00,5.87E+00,2.73E+00,1.54E+00,,,,,150,2.45E+11
2.45E+02,-8.71E+00,-6.85E+00,1.88E+00,-8.34E-01,-1.32E+00,6.30E-01,-7.80E-01,-1.48E+01,-1.33E+01,,,,,150,2.45E+11
2.45E+02,7.03E+00,-6.91E+00,2.90E+00,-5.48E-01,4.17E-01,-4.45E+00,1.50E+00,-1.29E+01,-5.47E+00,,,,,150,2.45E+11
2.45E+02,1.17E-01,-2.44E+01,-1.19E+01,-1.83E+00,-1.32E+00,-3.51E+00,-1.40E+01,-1.55E+01,-8.47E+00,,,,,150,2.45E+11
2.45E+02,2.88E+00,-2.25E+01,-4.34E+00,-1.69E+00,1.95E+00,-3.20E+00,-1.97E+01,-5.32E+00,8.84E+00,,,,,150,2.45E+11
2.45E+02,-1.05E+01,-2.47E+01,-8.01E+00,-8.67E-01,9.48E-01,-1.87E+00,-1.38E+01,4.59E+00,8.98E+00,,,,,150,2.45E+11
2.45E+02,-1.48E+01,-1.38E+01,8.58E+00,3.00E-01,-6.02E-01,5.86E-01,-1.61E+01,9.30E+00,5.44E+00,,,,,150,2.45E+11
2.45E+02,-7.77E+00,-3.10E+00,8.43E+00,8.87E-01,3.00E-01,2.81E+00,-7.82E+00,1.45E+01,5.84E+00,,,,,150,2.45E+11
2.45E+02,-9.70E+00,1.93E+00,4.77E+00,1.94E+00,-1.84E-01,2.28E+00,-1.99E+00,8.06E+00,2.08E+00,,,,,150,2.45E+11
2.45E+02,-2.04E+00,6.64E+00,5.35E+00,1.76E+00,-1.07E+00,2.75E+00,-2.28E+01,-5.47E+00,1.29E+00,,,,,150,2.45E+11
2.45E+02,2.71E+00,-5.43E-01,2.12E+00,1.67E+00,4.66E-01,3.39E+00,-1.44E+01,-3.29E+01,-6.52E+00,,,,,150,2.45E+11
2.45E+02,-1.91E+01,-1.45E+01,2.16E+00,-2.70E-01,-6.22E-01,2.75E+00,-1.31E+01,-3.29E+01,-6.86E+00,,,,,150,2.45E+11
2.45E+02,-1.30E+01,-4.25E+01,-4.76E+00,-1.26E+00,-1.48E+00,2.09E-01,2.60E+00,2.34E+00,-4.05E+00,,,,,150,2.45E+11
2.45E+02,-4.43E+00,-1.52E+01,-3.79E+00,-1.35E+00,9.84E-01,-3.04E+00,1.35E+01,5.92E+00,-5.43E+00,,,,,150,2.45E+11
2.45E+02,1.96E+00,-7.29E+00,-2.32E+00,1.11E+00,-2.51E+00,-4.56E+00,-1.79E+00,1.42E+01,7.80E+00,,,,,150,2.45E+11
2.45E+02,1.34E+01,-3.82E+00,-4.29E+00,-1.77E-01,-2.71E-01,2.46E+00,-2.10E+01,5.77E+00,-4.04E+00,,,,,150,2.45E+11
2.45E+02,1.34E-01,4.62E+00,8.59E+00,5.38E-01,3.27E+00,3.25E+00,1.27E-01,4.92E+00,9.19E+00,,,,,150,2.45E+11
2.46E+02,-1.78E+01,-3.46E+00,-3.20E+00,-1.17E+00,2.81E-02,-2.66E-01,8.77E-01,4.95E+00,8.92E+00,,,,,150,2.46E+11
2.46E+02,1.46E+00,-4.73E+00,1.04E+01,8.50E-01,1.13E+00,-3.93E+00,5.73E+00,-2.72E+01,-4.04E+00,,,,,150,2.46E+11
2.46E+02,1.32E+00,-9.57E+00,-6.51E+00,-1.78E+00,-1.07E+00,-2.96E+00,-1.17E+01,-1.45E+01,-8.90E+00,,,,,150,2.46E+11
2.46E+02,6.83E+00,-3.69E+01,-3.15E+00,-2.57E+00,3.14E+00,-3.75E+00,-2.18E+01,-8.66E+00,7.09E+00,,,,,150,2.46E+11
2.46E+02,-8.73E+00,-2.38E+01,-8.19E+00,-1.40E+00,5.69E-01,-2.39E+00,-1.53E+01,2.16E+00,8.73E+00,,,,,150,2.46E+11
2.46E+02,-1.74E+01,-1.75E+01,6.85E+00,8.64E-02,-4.96E-01,-1.50E-01,-1.54E+01,6.14E+00,1.99E+00,,,,,150,2.46E+11
2.46E+02,-9.45E+00,-5.67E+00,8.12E+00,6.43E-01,1.97E-01,2.13E+00,-1.09E+01,1.27E+01,4.92E+00,,,,,150,2.46E+11
2.46E+02,-8.92E+00,-1.16E+00,1.27E+00,1.52E+00,-3.67E-01,2.32E+00,-2.35E+00,1.18E+01,3.18E+00,,,,,150,2.46E+11
2.46E+02,-4.69E+00,5.09E+00,4.23E+00,1.93E+00,1.37E-01,2.28E+00,-5.93E+00,4.61E+00,-2.05E+00,,,,,150,2.46E+11
2.46E+02,2.89E+00,3.50E+00,2.93E+00,1.66E+00,8.74E-01,6.41E+00,-3.63E+01,-4.59E+01,-4.05E-01,,,,,150,2.46E+11
2.46E+02,-1.65E+00,-4.20E+00,-1.48E+00,1.05E-01,-7.74E-01,2.50E+00,-1.03E+01,-1.08E+01,-7.54E+00,,,,,150,2.46E+11
2.46E+02,-3.34E+01,-5.52E+01,9.15E-01,-1.34E+00,-1.82E+00,1.21E+00,6.63E-02,1.23E+00,-4.66E+00,,,,,150,2.46E+11
2.46E+02,-9.35E+00,-2.03E+01,-5.60E+00,-1.23E+00,-5.96E-01,-1.47E+00,8.12E+00,5.57E+00,-4.77E+00,,,,,150,2.46E+11
2.46E+02,-2.39E-03,-8.43E+00,-2.97E+00,-5.57E-01,3.35E-01,-4.54E+00,6.24E+00,1.18E+01,8.88E+00,,,,,150,2.46E+11
2.46E+02,8.09E+00,-4.18E+00,-3.72E+00,6.89E-01,-4.06E+00,-1.29E+00,-1.71E+01,1.64E+01,4.76E-01,,,,,150,2.46E+11
2.46E+02,7.59E+00,2.06E+00,9.32E+00,1.13E-01,5.97E+00,4.00E+00,-7.95E+00,3.49E+00,-1.24E+00,,,,,150,2.46E+11
2.46E+02,-1.38E+01,7.19E+00,7.18E-01,2.89E-01,2.62E-01,9.73E-01,3.72E-01,4.15E+00,-1.15E+01,,,,,150,2.46E+11
2.46E+02,-5.51E+00,-6.00E+00,-7.97E-01,-5.37E-01,7.15E-01,-9.45E-01,5.08E+00,-3.01E+01,-6.98E+00,,,,,150,2.46E+11
2.46E+02,1.24E+00,-5.55E+00,-1.04E+01,-1.20E+00,-1.16E+00,-5.07E+00,-6.09E+00,-1.33E+01,-4.99E+00,,,,,150,2.46E+11
2.46E+02,5.73E+00,-3.99E+01,-6.17E+00,-2.10E+00,-1.36E-01,-3.13E+00,-1.77E+01,-1.52E+01,-5.47E+00,,,,,150,2.46E+11
2.47E+02,-3.70E+00,-2.28E+01,-4.48E+00,-1.33E+00,5.84E-01,-3.08E+00,-1.98E+01,-2.17E+00,3.59E+00,,,,,150,2.47E+11
2.47E+02,-1.34E+01,-2.40E+01,-5.99E+00,-5.19E-03,6.05E-01,-1.20E+00,-1.52E+01,5.69E+00,3.82E+00,,,,,150,2.47E+11
2.47E+02,-1.40E+01,-9.96E+00,2.67E+00,7.28E-01,-1.96E-01,1.74E+00,-1.38E+01,8.97E+00,9.43E-01,,,,,150,2.47E+11
2.47E+02,-8.48E+00,-1.35E+00,2.74E+00,1.01E+00,1.26E-01,2.83E+00,-5.16E+00,1.45E+01,4.18E+00,,,,,150,2.47E+11
2.47E+02,-7.04E+00,1.90E+00,-3.59E-02,1.81E+00,-2.82E-01,2.59E+00,-3.08E+00,6.75E+00,-8.49E-01,,,,,150,2.47E+11
2.47E+02,6.73E-01,6.63E+00,3.60E+00,1.94E+00,-1.65E+00,3.81E+00,-3.41E+01,-1.67E+01,5.67E+00,,,,,150,2.47E+11
2.47E+02,1.64E+00,-1.84E+00,-1.01E+00,1.25E+00,-1.07E+00,2.68E+00,-1.42E+01,-1.88E+01,-7.06E+00,,,,,150,2.47E+11
2.47E+02,-3.05E+01,-2.58E+01,6.02E+00,-6.97E-01,-2.41E-01,2.17E+00,-3.91E+00,-1.30E+00,-3.68E+00,,,,,150,2.47E+11
2.47E+02,-1.29E+01,-2.84E+01,-5.66E+00,-1.16E+00,-1.46E+00,-3.40E-01,2.23E+00,3.54E+00,-3.89E+00,,,,,150,2.47E+11
2.47E+02,-3.70E+00,-1.10E+01,-2.14E+00,-9.48E-01,1.37E+00,-3.76E+00,1.28E+01,7.26E+00,-4.10E+00,,,,,150,2.47E+11
2.47E+02,1.94E+00,-6.20E+00,-2.85E+00,7.00E-01,-3.77E+00,-4.77E+00,-3.84E+00,1.55E+01,9.80E+00,,,,,150,2.47E+11
2.47E+02,1.32E+01,-2.52E+00,-3.58E+00,3.29E-01,4.13E+00,3.44E+00,-1.90E+01,2.77E+00,-8.46E-01,,,,,150,2.47E+11
2.47E+02,-1.03E+00,6.09E+00,1.02E+01,1.83E+00,1.78E-01,3.68E+00,3.30E-01,3.08E+00,5.98E+00,,,,,150,2.47E+11
2.47E+02,-1.53E+01,-6.29E+00,-7.37E-01,-1.15E+00,-7.71E-01,-2.10E-01,6.09E+00,-1.21E+01,-9.83E+00,,,,,150,2.47E+11
2.47E+02,1.91E+00,-6.55E+00,6.88E+00,1.01E-02,-5.78E-01,-6.99E+00,-3.88E+00,-1.72E+01,-8.13E+00,,,,,150,2.47E+11
2.47E+02,6.84E+00,-2.18E+01,-8.82E+00,-2.08E+00,-3.27E-01,-1.79E+00,-1.54E+01,-1.62E+01,-8.19E+00,,,,,150,2.47E+11
2.47E+02,-1.49E+00,-2.67E+01,-7.36E+00,-1.81E+00,1.92E+00,-3.74E+00,-2.47E+01,-2.97E+00,1.16E+01,,,,,150,2.47E+11
2.47E+02,-1.08E+01,-2.49E+01,-8.15E+00,-9.98E-01,8.41E-01,-1.80E+00,-1.36E+01,5.68E+00,9.89E+00,,,,,150,2.47E+11
2.47E+02,-1.92E+01,-1.11E+01,1.12E+01,7.30E-02,-7.10E-01,5.35E-01,-1.39E+01,5.37E+00,9.98E+00,,,,,150,2.47E+11
2.47E+02,-6.97E+00,-1.47E+00,9.12E+00,3.63E-01,-3.38E-01,2.31E+00,-9.05E+00,1.27E+01,5.13E+00,,,,,150,2.47E+11
2.48E+02,-9.15E+00,1.81E+00,2.70E+00,1.32E+00,-3.19E-01,2.48E+00,-3.80E+00,8.62E+00,3.41E-02,,,,,150,2.48E+11
2.48E+02,-2.61E+00,5.34E+00,4.13E+00,1.46E+00,-2.21E+00,2.27E+00,-2.08E+01,-9.22E+00,7.06E+00,,,,,150,2.48E+11
2.48E+02,1.70E+00,5.32E-01,-6.82E-01,2.32E+00,-3.72E-01,3.75E+00,-1.64E+01,-2.75E+01,-3.85E+00,,,,,150,2.48E+11
2.48E+02,-1.63E+01,-1.79E+01,6.66E+00,5.41E-01,7.48E-01,2.53E+00,-8.32E+00,-5.25E+00,-6.25E+00,,,,,150,2.48E+11
2.48E+02,-1.39E+01,-3.70E+01,-3.31E+00,-1.01E+00,-2.00E+00,4.72E-01,-5.72E-01,2.71E+00,-4.48E+00,,,,,150,2.48E+11
2.48E+02,-7.27E+00,-1.49E+01,-5.08E+00,-1.05E+00,2.76E-01,-1.82E+00,1.49E+01,6.83E+00,-5.95E+00,,,,,150,2.48E+11
2.48E+02,-4.48E-01,-7.04E+00,-3.42E+00,1.96E-01,-2.18E+00,-5.35E+00,9.07E-03,1.41E+01,8.82E+00,,,,,150,2.48E+11
2.48E+02,1.52E+01,-2.95E+00,-5.35E+00,5.51E-01,-4.20E-01,2.00E+00,-2.71E+01,6.88E+00,-5.79E-01,,,,,150,2.48E+11
2.48E+02,2.28E+00,4.60E+00,8.97E+00,6.14E-01,2.47E+00,3.31E+00,1.25E+00,4.69E+00,2.64E+00,,,,,150,2.48E+11
2.48E+02,-2.34E+01,-2.17E+00,-8.02E-01,-7.24E-01,-3.79E-01,1.84E-02,1.13E+00,1.61E+00,-9.76E+00,,,,,150,2.48E+11
2.48E+02,3.28E+00,-4.89E+00,3.17E+00,-2.39E-01,3.12E+00,-3.62E+00,5.83E+00,-3.46E+01,-1.91E+00,,,,,150,2.48E+11
2.48E+02,2.36E+00,-8.05E+00,-8.60E+00,-1.45E+00,-2.34E+00,-3.25E+00,-1.04E+01,-1.13E+01,-6.32E+00,,,,,150,2.48E+11
2.48E+02,7.64E+00,-4.42E+01,-1.33E+00,-2.36E+00,3.87E+00,-2.12E+00,-2.53E+01,-1.16E+01,3.66E+00,,,,,150,2.48E+11
2.48E+02,-6.68E+00,-2.04E+01,-5.96E+00,-1.56E+00,7.60E-01,-2.83E+00,-1.73E+01,2.29E+00,9.22E+00,,,,,150,2.48E+11
2.48E+02,-2.04E+01,-2.00E+01,3.08E+00,4.55E-02,7.33E-03,-5.39E-01,-1.55E+01,4.52E+00,6.31E-01,,,,,150,2.48E+11
2.48E+02,-1.12E+01,-5.35E+00,8.54E+00,4.88E-01,-5.56E-02,1.64E+00,-1.31E+01,1.10E+01,2.94E+00,,,,,150,2.48E+11
2.48E+02,-8.63E+00,-2.48E+00,-9.10E-02,1.33E+00,-9.20E-01,2.23E+00,-4.83E+00,1.34E+01,4.34E+00,,,,,150,2.48E+11
2.48E+02,-6.39E+00,3.82E+00,2.13E+00,1.71E+00,-3.41E-01,2.38E+00,-5.48E+00,5.42E+00,-2.26E+00,,,,,150,2.48E+11
2.48E+02,1.06E+00,5.55E+00,3.83E+00,2.46E+00,1.42E+00,6.38E+00,-3.80E+01,-4.28E+01,-9.25E-01,,,,,150,2.48E+11
2.48E+02,-5.22E-01,-3.04E+00,-2.26E+00,7.36E-01,-7.32E-01,2.59E+00,-1.04E+01,-1.17E+01,-7.58E+00,,,,,150,2.48E+11
